state,abbr,has_sales_tax,sales_threshold_usd,sales_op,txn_threshold,txn_op,txn_test,measurement_period,marketplace_sales,watch_2026,authority,source_id,notes
Alabama,AL,yes,250000,gt,,,none,previous calendar year,excluded,,Alabama Department of Revenue — Remote Seller FAQ,STA-2026-08-18,More than $250000
Alaska,AK,no_state,100000,gte,,,none,current or previous calendar year,included,,Alaska Remote Seller Sales Tax Commission,STA-2026-08-18,No statewide sales tax; local / ARSSTC remote-seller rules
Arizona,AZ,yes,100000,gte,,,none,current or previous calendar year,excluded,,Arizona Department of Revenue — Economic Nexus Threshold,STA-2026-08-18,Transaction privilege tax not conventional sales tax
Arkansas,AR,yes,100000,gte,200,gte,either,previous or current calendar year,excluded,,Arkansas Department of Finance and Administration — Remote Sellers,STA-2026-08-18,Either sales or 200 txns
California,CA,yes,500000,gt,,,none,preceding or current calendar year,included,,CDTFA Wayfair / RTC 6203 (AB 147),CDTFA-WAYFAIR,TPP delivered in CA by retailer + related persons; district use tax same $500k
Colorado,CO,yes,100000,gte,,,none,previous or current calendar year,excluded,,Colorado Department of Revenue — Out-of-State Businesses,STA-2026-08-18,Home-rule cities may be separate
Connecticut,CT,yes,100000,gte,200,gte,both,12-month period ending September 30,included,,Connecticut Department of Revenue Services,STA-2026-08-18,BOTH $100k AND 200 retail sales
Delaware,DE,no,0,,0,,n/a,n/a,n/a,,Delaware Division of Revenue,STA-2026-08-18,No general sales tax
District of Columbia,DC,yes,100000,gte,200,gte,either,previous or current calendar year,included,,DC Office of Tax and Revenue — Marketplace Sellers FAQ,STA-2026-08-18,
Florida,FL,yes,100000,gte,,,none,previous calendar year,excluded,,Florida Department of Revenue — Sales and Use Tax,STA-2026-08-18,Prior-year only
Georgia,GA,yes,100000,gte,200,gte,either,previous or current calendar year,excluded,,Georgia Department of Revenue — Out-of-State Sellers,STA-2026-08-18,
Hawaii,HI,yes,100000,gte,200,gte,either,current or immediately preceding calendar year,included,,Hawaii Department of Taxation — GET,STA-2026-08-18,General excise tax
Idaho,ID,yes,100000,gte,,,none,current or previous calendar year,included,,Idaho State Tax Commission — Online Sellers Guide,STA-2026-08-18,
Illinois,IL,yes,100000,gte,,,none,preceding 12-month lookback evaluated quarterly,excluded,dropped_200_txn_2026-01-01,IDOR FY 2026-12 / ST 26-0019-GIL,IL-FY-2026-12,200-txn test gone 2026-01-01; 15% undetermined-location rate
Indiana,IN,yes,100000,gte,,,none,current or immediately preceding calendar year,excluded,,Indiana Department of Revenue — Remote Sellers,STA-2026-08-18,
Iowa,IA,yes,100000,gte,,,none,current or immediately preceding calendar year,included,,Iowa Department of Revenue,STA-2026-08-18,
Kansas,KS,yes,100000,gte,,,none,current or immediately preceding calendar year,included,,Kansas Department of Revenue — Publication KS-1510,STA-2026-08-18,
